Voltage,Capacitance,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
6.3,180,0.259,0.29,5,11,0.22,1.621,2.5,2.25,1.0,1.88,1.2,EKYB6R3E□□181ME11D,340,1134.0
6.3,390,0.187,0.15,6.3,11,0.22,0.748,2.0,1.88,1.0,1.7,0.6,EKYB6R3E□□391MF11D,540,2457.0
6.3,820,0.128,0.087,8,11.5,0.22,0.356,1.67,1.58,1.0,1.45,0.35,EKYB6R3E□□821MHB5D,840,5166.0
6.3,1200,0.095,0.069,8,15,0.22,0.265,1.67,1.58,1.0,1.45,0.28,EKYB6R3E□□122MH15D,1050,7560.0
6.3,1200,0.095,0.064,10,12.5,0.22,0.265,1.67,1.58,1.0,1.45,0.26,EKYB6R3E□□122MJC5S,1050,7560.0
6.3,1500,0.076,0.06,8,20,0.22,0.212,1.67,1.58,1.0,1.45,0.24,EKYB6R3E□□152MH20D,1210,9450.0
6.3,1800,0.063,0.049,10,16,0.22,0.177,1.67,1.58,1.0,1.45,0.2,EKYB6R3E□□182MJ16S,1400,11340.0
6.3,2200,0.089,0.037,10,20,0.22,0.157,1.33,1.27,1.0,1.2,0.15,EKYB6R3E□□222MJ20S,1650,13860.0
6.3,2700,0.072,0.031,10,25,0.22,0.128,1.33,1.27,1.0,1.2,0.13,EKYB6R3E□□272MJ25S,1910,17010.0
6.3,3300,0.064,0.027,10,30,0.22,0.113,1.33,1.27,1.0,1.2,0.11,EKYB6R3E□□332MJ30S,2230,20790.0
6.3,3900,0.054,0.027,12.5,20,0.22,0.095,1.33,1.27,1.0,1.2,0.11,EKYB6R3E□□392MK20S,2230,24570.0
6.3,4700,0.061,0.024,12.5,25,0.22,0.085,1.18,1.15,1.0,1.12,0.096,EKYB6R3E□□472MK25S,2530,29610.0
6.3,6800,0.066,0.021,12.5,30,0.22,0.066,,,,,0.084,EKYB6R3E□□682MK30S,2860,42840.0
6.3,6800,0.066,0.025,16,20,0.22,0.066,,,,,0.1,EKYB6R3E□□682ML20S,2610,42840.0
6.3,8200,0.061,0.018,12.5,35,0.22,0.061,,,,,0.072,EKYB6R3E□□822MK35S,3140,51660.0
6.3,8200,0.061,0.021,18,20,0.22,0.061,,,,,0.084,EKYB6R3E□□822MM20S,3000,51660.0
6.3,10000,0.056,0.017,12.5,40,0.22,0.056,,,,,0.068,EKYB6R3E□□103MK40S,3640,63000.0
6.3,10000,0.056,0.02,16,25,0.22,0.056,,,,,0.08,EKYB6R3E□□103ML25S,3140,63000.0
6.3,12000,0.051,0.016,16,31.5,0.22,0.051,,,,,0.064,EKYB6R3E□□123MLN3S,3610,75600.0
6.3,12000,0.051,0.017,18,25,0.22,0.051,,,,,0.068,EKYB6R3E□□123MM25S,3530,75600.0
6.3,15000,0.046,0.014,16,35.5,0.22,0.046,,,,,0.056,EKYB6R3E□□153MLP1S,4080,94500.0
6.3,15000,0.046,0.014,18,31.5,0.22,0.046,,,,,0.056,EKYB6R3E□□153MMN3S,4220,94500.0
6.3,18000,0.043,0.013,16,40,0.22,0.043,,,,,0.052,EKYB6R3E□□183ML40S,4220,113400.0
6.3,18000,0.043,0.012,18,35.5,0.22,0.043,,,,,0.048,EKYB6R3E□□183MMP1S,4280,113400.0
6.3,22000,0.04,0.011,18,40,0.22,0.04,,,,,0.044,EKYB6R3E□□223MM40S,4700,138600.0
10,120,0.336,0.29,5,11,0.19,2.1,2.5,2.25,1.0,1.88,1.2,EKYB100E□□121ME11D,340,1200.0
10,330,0.191,0.15,6.3,11,0.19,0.764,2.0,1.88,1.0,1.7,0.6,EKYB100E□□331MF11D,540,3300.0
10,560,0.112,0.087,8,11.5,0.19,0.45,2.0,1.88,1.0,1.7,0.35,EKYB100E□□561MHB5D,840,5600.0
10,820,0.11,0.069,8,15,0.19,0.307,1.67,1.58,1.0,1.45,0.28,EKYB100E□□821MH15D,1050,8200.0
10,1000,0.1,0.06,8,20,0.19,0.279,1.67,1.58,1.0,1.45,0.24,EKYB100E□□102MH20D,1210,10000.0
10,1000,0.1,0.064,10,12.5,0.19,0.279,1.67,1.58,1.0,1.45,0.26,EKYB100E□□102MJC5S,1050,10000.0
10,1200,0.083,0.049,10,16,0.19,0.232,1.67,1.58,1.0,1.45,0.2,EKYB100E□□122MJ16S,1400,12000.0
10,1800,0.055,0.037,10,20,0.19,0.155,1.67,1.58,1.0,1.45,0.15,EKYB100E□□182MJ20S,1650,18000.0
10,2200,0.078,0.031,10,25,0.19,0.139,1.33,1.27,1.0,1.2,0.13,EKYB100E□□222MJ25S,1910,22000.0
10,2700,0.064,0.027,10,30,0.19,0.113,1.33,1.27,1.0,1.2,0.11,EKYB100E□□272MJ30S,2230,27000.0
10,2700,0.064,0.027,12.5,20,0.19,0.113,1.33,1.27,1.0,1.2,0.11,EKYB100E□□272MK20S,2230,27000.0
10,3900,0.048,0.024,12.5,25,0.19,0.085,1.33,1.27,1.0,1.2,0.096,EKYB100E□□392MK25S,2530,39000.0
10,4700,0.055,0.021,12.5,30,0.19,0.076,1.18,1.15,1.0,1.12,0.084,EKYB100E□□472MK30S,2860,47000.0
10,4700,0.055,0.025,16,20,0.19,0.076,1.18,1.15,1.0,1.12,0.1,EKYB100E□□472ML20S,2610,47000.0
10,5600,0.069,0.018,12.5,35,0.19,0.069,,,,,0.072,EKYB100E□□562MK35S,3140,56000.0
10,6800,0.06,0.017,12.5,40,0.19,0.06,,,,,0.068,EKYB100E□□682MK40S,3640,68000.0
10,6800,0.06,0.02,16,25,0.19,0.06,,,,,0.08,EKYB100E□□682ML25S,3140,68000.0
10,6800,0.06,0.021,18,20,0.19,0.06,,,,,0.084,EKYB100E□□682MM20S,3000,68000.0
10,8200,0.057,0.016,16,31.5,0.19,0.057,,,,,0.064,EKYB100E□□822MLN3S,3610,82000.0
10,8200,0.057,0.017,18,25,0.19,0.057,,,,,0.068,EKYB100E□□822MM25S,3530,82000.0
10,10000,0.052,0.014,16,35.5,0.19,0.052,,,,,0.056,EKYB100E□□103MLP1S,4080,100000.0
10,10000,0.052,0.014,18,31.5,0.19,0.052,,,,,0.056,EKYB100E□□103MMN3S,4220,100000.0
10,12000,0.048,0.013,16,40,0.19,0.048,,,,,0.052,EKYB100E□□123ML40S,4220,120000.0
10,12000,0.048,0.012,18,35.5,0.19,0.048,,,,,0.048,EKYB100E□□123MMP1S,4280,120000.0
10,15000,0.043,0.011,18,40,0.19,0.043,,,,,0.044,EKYB100E□□153MM40S,4700,150000.0
16,120,0.283,0.29,5,11,0.16,1.768,2.5,2.25,1.0,1.88,1.2,EKYB160E□□121ME11D,340,1920.0
16,270,0.196,0.15,6.3,11,0.16,0.786,2.0,1.88,1.0,1.7,0.6,EKYB160E□□271MF11D,540,4320.0
16,470,0.113,0.087,8,11.5,0.16,0.452,2.0,1.88,1.0,1.7,0.35,EKYB160E□□471MHB5D,840,7520.0
16,680,0.112,0.069,8,15,0.16,0.312,1.67,1.58,1.0,1.45,0.28,EKYB160E□□681MH15D,1050,10880.0
16,680,0.112,0.064,10,12.5,0.16,0.312,1.67,1.58,1.0,1.45,0.26,EKYB160E□□681MJC5S,1050,10880.0
16,820,0.093,0.06,8,20,0.16,0.259,1.67,1.58,1.0,1.45,0.24,EKYB160E□□821MH20D,1210,13120.0
16,1000,0.086,0.049,10,16,0.16,0.239,1.67,1.58,1.0,1.45,0.2,EKYB160E□□102MJ16S,1400,16000.0
16,1500,0.057,0.037,10,20,0.16,0.159,1.67,1.58,1.0,1.45,0.15,EKYB160E□□152MJ20S,1650,24000.0
16,1800,0.048,0.031,10,25,0.16,0.133,1.67,1.58,1.0,1.45,0.13,EKYB160E□□182MJ25S,1910,28800.0
16,2200,0.068,0.027,10,30,0.16,0.121,1.33,1.27,1.0,1.2,0.11,EKYB160E□□222MJ30S,2230,35200.0
16,2200,0.068,0.027,12.5,20,0.16,0.121,1.33,1.27,1.0,1.2,0.11,EKYB160E□□222MK20S,2230,35200.0
16,3300,0.05,0.024,12.5,25,0.16,0.088,1.33,1.27,1.0,1.2,0.096,EKYB160E□□332MK25S,2530,52800.0
16,3900,0.042,0.021,12.5,30,0.16,0.075,1.33,1.27,1.0,1.2,0.084,EKYB160E□□392MK30S,2860,62400.0
16,3900,0.042,0.025,16,20,0.16,0.075,1.33,1.27,1.0,1.2,0.1,EKYB160E□□392ML20S,2610,62400.0
16,4700,0.049,0.018,12.5,35,0.16,0.068,1.18,1.15,1.0,1.12,0.072,EKYB160E□□472MK35S,3140,75200.0
16,4700,0.049,0.021,18,20,0.16,0.068,1.18,1.15,1.0,1.12,0.084,EKYB160E□□472MM20S,3000,75200.0
16,5600,0.062,0.017,12.5,40,0.16,0.062,,,,,0.068,EKYB160E□□562MK40S,3640,89600.0
16,5600,0.062,0.02,16,25,0.16,0.062,,,,,0.08,EKYB160E□□562ML25S,3140,89600.0
16,6800,0.055,0.016,16,31.5,0.16,0.055,,,,,0.064,EKYB160E□□682MLN3S,3610,108800.0
16,6800,0.055,0.017,18,25,0.16,0.055,,,,,0.068,EKYB160E□□682MM25S,3530,108800.0
16,8200,0.052,0.014,16,35.5,0.16,0.052,,,,,0.056,EKYB160E□□822MLP1S,4080,131200.0
16,8200,0.052,0.014,18,31.5,0.16,0.052,,,,,0.056,EKYB160E□□822MMN3S,4220,131200.0
16,10000,0.048,0.013,16,40,0.16,0.048,,,,,0.052,EKYB160E□□103ML40S,4220,160000.0
16,10000,0.048,0.012,18,35.5,0.16,0.048,,,,,0.048,EKYB160E□□103MMP1S,4280,160000.0
16,12000,0.044,0.011,18,40,0.16,0.044,,,,,0.044,EKYB160E□□123MM40S,4700,192000.0
25,82,0.362,0.29,5,11,0.14,2.264,2.5,2.25,1.0,1.88,1.2,EKYB250E□□820ME11D,340,2050.0
25,150,0.198,0.15,6.3,11,0.14,1.238,2.5,2.25,1.0,1.88,0.6,EKYB250E□□151MF11D,540,3750.0
25,330,0.141,0.087,8,11.5,0.14,0.563,2.0,1.88,1.0,1.7,0.35,EKYB250E□□331MHB5D,840,8250.0
25,390,0.119,0.069,8,15,0.14,0.476,2.0,1.88,1.0,1.7,0.28,EKYB250E□□391MH15D,1050,9750.0
25,470,0.099,0.064,10,12.5,0.14,0.395,2.0,1.88,1.0,1.7,0.26,EKYB250E□□471MJC5S,1050,11750.0
25,560,0.083,0.06,8,20,0.14,0.332,2.0,1.88,1.0,1.7,0.24,EKYB250E□□561MH20D,1210,14000.0
25,680,0.098,0.049,10,16,0.14,0.273,1.67,1.58,1.0,1.45,0.2,EKYB250E□□681MJ16S,1400,17000.0
25,1000,0.076,0.037,10,20,0.14,0.212,1.67,1.58,1.0,1.45,0.15,EKYB250E□□102MJ20S,1650,25000.0
25,1200,0.063,0.031,10,25,0.14,0.177,1.67,1.58,1.0,1.45,0.13,EKYB250E□□122MJ25S,1910,30000.0
25,1500,0.051,0.027,10,30,0.14,0.141,1.67,1.58,1.0,1.45,0.11,EKYB250E□□152MJ30S,2230,37500.0
25,1500,0.051,0.027,12.5,20,0.14,0.141,1.67,1.58,1.0,1.45,0.11,EKYB250E□□152MK20S,2230,37500.0
25,2200,0.061,0.024,12.5,25,0.14,0.109,1.33,1.27,1.0,1.2,0.096,EKYB250E□□222MK25S,2530,55000.0
25,2700,0.05,0.021,12.5,30,0.14,0.088,1.33,1.27,1.0,1.2,0.084,EKYB250E□□272MK30S,2860,67500.0
25,2700,0.05,0.025,16,20,0.14,0.088,1.33,1.27,1.0,1.2,0.1,EKYB250E□□272ML20S,2610,67500.0
25,3300,0.045,0.018,12.5,35,0.14,0.08,1.33,1.27,1.0,1.2,0.072,EKYB250E□□332MK35S,3140,82500.0
25,3300,0.045,0.021,18,20,0.14,0.08,1.33,1.27,1.0,1.2,0.084,EKYB250E□□332MM20S,3000,82500.0
25,3900,0.038,0.017,12.5,40,0.14,0.068,1.33,1.27,1.0,1.2,0.068,EKYB250E□□392MK40S,3640,97500.0
25,3900,0.038,0.02,16,25,0.14,0.068,1.33,1.27,1.0,1.2,0.08,EKYB250E□□392ML25S,3140,97500.0
25,4700,0.045,0.016,16,31.5,0.14,0.062,1.18,1.15,1.0,1.12,0.064,EKYB250E□□472MLN3S,3610,117500.0
25,4700,0.045,0.017,18,25,0.14,0.062,1.18,1.15,1.0,1.12,0.068,EKYB250E□□472MM25S,3530,117500.0
25,5600,0.057,0.014,16,35.5,0.14,0.057,,,,,0.056,EKYB250E□□562MLP1S,4080,140000.0
25,6800,0.051,0.013,16,40,0.14,0.051,,,,,0.052,EKYB250E□□682ML40S,4220,170000.0
25,6800,0.051,0.014,18,31.5,0.14,0.051,,,,,0.056,EKYB250E□□682MMN3S,4220,170000.0
25,8200,0.049,0.012,18,35.5,0.14,0.049,,,,,0.048,EKYB250E□□822MMP1S,4280,205000.0
35,47,0.542,0.29,5,11,0.12,3.386,2.5,2.25,1.0,1.88,1.2,EKYB350E□□470ME11D,340,1645.0
35,100,0.255,0.15,6.3,11,0.12,1.592,2.5,2.25,1.0,1.88,0.6,EKYB350E□□101MF11D,540,3500.0
35,180,0.141,0.087,8,11.5,0.12,0.884,2.5,2.25,1.0,1.88,0.35,EKYB350E□□181MHB5D,840,6300.0
35,270,0.147,0.069,8,15,0.12,0.589,2.0,1.88,1.0,1.7,0.28,EKYB350E□□271MH15D,1050,9450.0
35,330,0.121,0.06,8,20,0.12,0.482,2.0,1.88,1.0,1.7,0.24,EKYB350E□□331MH20D,1210,11550.0
35,330,0.121,0.064,10,12.5,0.12,0.482,2.0,1.88,1.0,1.7,0.26,EKYB350E□□331MJC5S,1050,11550.0
35,470,0.085,0.049,10,16,0.12,0.339,2.0,1.88,1.0,1.7,0.2,EKYB350E□□471MJ16S,1400,16450.0
35,680,0.084,0.037,10,20,0.12,0.234,1.67,1.58,1.0,1.45,0.15,EKYB350E□□681MJ20S,1650,23800.0
35,820,0.07,0.031,10,25,0.12,0.194,1.67,1.58,1.0,1.45,0.13,EKYB350E□□821MJ25S,1910,28700.0
35,1000,0.067,0.027,10,30,0.12,0.186,1.67,1.58,1.0,1.45,0.11,EKYB350E□□102MJ30S,2230,35000.0
35,1000,0.067,0.027,12.5,20,0.12,0.186,1.67,1.58,1.0,1.45,0.11,EKYB350E□□102MK20S,2230,35000.0
