Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@300Hz,Ripple Current 85°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,2200,0.155,,12.5,15,-40,85,0.3,0.205,2000,416,1200,URS0J222MHD,Uni-Polar,Radial Lead,Lo-Profile,1023.5,890,1005.7,979,756.5,LTB,13860,Normal,2.96
6.3,3300,0.115,,16,15,-40,85,0.32,0.153,2000,624,700,URS0J332MHD,Uni-Polar,Radial Lead,Lo-Profile,1380,1200,1356,1320,1020,LTB,20790,Normal,4.74
6.3,4700,0.09,,16,15,-40,85,0.34,0.119,2000,888,700,URS0J472MHD,Uni-Polar,Radial Lead,Lo-Profile,1621.5,1410,1593.3,1551,1198.5,LTB,29610,Normal,4.74
6.3,6800,0.074,,18,15,-40,85,0.38,0.098,2000,1285,400,URS0J682MHD,Uni-Polar,Radial Lead,Lo-Profile,1909,1660,1875.8,1826,1411,LTB,42840,Normal,6.31
6.3,10000,,,18,20,-40,85,0.46,0.088,2000,1890,400,URS0J103MHD,Uni-Polar,Radial Lead,Lo-Profile,,2020,,,,LTB,63000,Normal,9
10,1000,0.261,,10,12.5,-40,85,0.24,0.345,2000,300,2000,URS1A102MPD,Uni-Polar,Radial Lead,Lo-Profile,713,620,700.6,682,527,LTB,10000,Normal,1.49
10,2200,0.137,,12.5,15,-40,85,0.26,0.181,2000,660,1200,URS1A222MHD,Uni-Polar,Radial Lead,Lo-Profile,1104,960,1084.8,1056,816,LTB,22000,Normal,2.96
10,3300,0.103,,16,15,-40,85,0.28,0.137,2000,990,700,URS1A332MHD,Uni-Polar,Radial Lead,Lo-Profile,1495,1300,1469,1430,1105,LTB,33000,Normal,4.74
10,4700,0.081,,18,15,-40,85,0.3,0.107,2000,1410,400,URS1A472MHD,Uni-Polar,Radial Lead,Lo-Profile,1782.5,1550,1751.5,1705,1317.5,LTB,47000,Normal,6.31
10,6800,0.068,,18,20,-40,85,0.34,0.09,2000,2040,400,URS1A682MHD,Uni-Polar,Radial Lead,Lo-Profile,2127.5,1850,2090.5,2035,1572.5,LTB,68000,Normal,9
10,10000,,,18,25,-40,85,0.42,0.082,2000,3000,300,URS1A103MHD,Uni-Polar,Radial Lead,Lo-Profile,,2350,,,,LTB,100000,Normal,10.6
16,1000,0.221,,12.5,12.5,-40,85,0.2,0.292,2000,480,1500,URS1C102MHD,Uni-Polar,Radial Lead,Lo-Profile,828,720,813.6,792,612,MP,16000,Normal,2.8
16,2200,0.119,,16,15,-40,85,0.22,0.157,2000,1056,700,URS1C222MHD,Uni-Polar,Radial Lead,Lo-Profile,1334,1160,1310.8,1276,986,MP,35200,Normal,4.74
16,3300,0.091,,18,15,-40,85,0.24,0.121,2000,1584,400,URS1C332MHD,Uni-Polar,Radial Lead,Lo-Profile,1679,1460,1649.8,1606,1241,MP,52800,Normal,6.31
16,4700,0.073,,18,20,-40,85,0.26,0.096,2000,2256,400,URS1C472MHD,Uni-Polar,Radial Lead,Lo-Profile,2035.5,1770,2000.1,1947,1504.5,MP,75200,Normal,9
16,6800,0.062,,18,25,-40,85,0.3,0.082,2000,3264,300,URS1C682MHD,Uni-Polar,Radial Lead,Lo-Profile,2495.5,2170,2452.1,2387,1844.5,MP,108800,Normal,10.6
25,470,0.201,,10,12.5,-40,85,0.16,0.452,2000,353,2000,URS1E471MPD,Uni-Polar,Radial Lead,Lo-Profile,795,530,710.2,651.9,424,MP,11750,Normal,1.49
25,1000,0.181,,12.5,15,-40,85,0.16,0.239,2000,750,1200,URS1E102MHD,Uni-Polar,Radial Lead,Lo-Profile,954.5,830,937.9,913,705.5,MP,25000,Normal,2.96
25,2200,0.1,,18,15,-40,85,0.18,0.133,2000,1650,400,URS1E222MHD,Uni-Polar,Radial Lead,Lo-Profile,1564,1360,1536.8,1496,1156,MP,55000,Normal,6.31
25,3300,0.079,,18,20,-40,85,0.2,0.104,2000,2475,400,URS1E332MHD,Uni-Polar,Radial Lead,Lo-Profile,1978,1720,1943.6,1892,1462,MP,82500,Normal,9
25,4700,0.064,,18,25,-40,85,0.22,0.085,2000,3525,300,URS1E472MHD,Uni-Polar,Radial Lead,Lo-Profile,2357.5,2050,2316.5,2255,1742.5,MP,117500,Normal,10.6
35,330,0.25,,10,12.5,-40,85,0.14,0.563,2000,347,2000,URS1V331MPD,Uni-Polar,Radial Lead,Lo-Profile,720,480,643.2,590.4,384,MP,11550,Normal,1.49
35,470,0.176,,12.5,12.5,-40,85,0.14,0.395,2000,494,1500,URS1V471MHD,Uni-Polar,Radial Lead,Lo-Profile,885,590,790.6,725.7,472,MP,16450,Normal,2.8
35,1000,0.16,,16,15,-40,85,0.14,0.212,2000,1050,700,URS1V102MHD,Uni-Polar,Radial Lead,Lo-Profile,1161.5,1010,1141.3,1111,858.5,MP,35000,Normal,4.74
35,2200,0.091,,18,20,-40,85,0.16,0.121,2000,2310,400,URS1V222MHD,Uni-Polar,Radial Lead,Lo-Profile,1794,1560,1762.8,1716,1326,MP,77000,Normal,9
35,3300,0.073,,20,25,-40,85,0.18,0.096,2000,3465,250,URS1V332MRD,Uni-Polar,Radial Lead,Lo-Profile,2300,2000,2260,2200,1700,EOL,115500,Normal,11.5
50,220,0.322,,10,12.5,-40,85,0.12,0.723,2000,330,2000,URS1H221MPD,Uni-Polar,Radial Lead,Lo-Profile,630,420,562.8,516.6,336,MP,11000,Normal,1.49
50,330,0.214,,12.5,12.5,-40,85,0.12,0.482,2000,495,1500,URS1H331MHD,Uni-Polar,Radial Lead,Lo-Profile,795,530,710.2,651.9,424,MP,16500,Normal,2.8
50,470,0.151,,16,15,-40,85,0.12,0.339,2000,705,700,URS1H471MHD,Uni-Polar,Radial Lead,Lo-Profile,1125,750,1005,922.5,600,MP,23500,Normal,4.74
50,1000,0.14,,18,20,-40,85,0.12,0.186,2000,1500,400,URS1H102MHD,Uni-Polar,Radial Lead,Lo-Profile,1334,1160,1310.8,1276,986,MP,50000,Normal,9
50,2200,0.082,,20,25,-40,85,0.14,0.109,2000,3300,250,URS1H222MRD,Uni-Polar,Radial Lead,Lo-Profile,2012.5,1750,1977.5,1925,1487.5,EOL,110000,Normal,11.5
63,220,0.268,,12.5,12.5,-40,85,0.1,0.603,2000,416,1500,URS1J221MHD,Uni-Polar,Radial Lead,Lo-Profile,735,490,656.6,602.7,392,MP,13860,Normal,2.8
63,330,0.179,,12.5,15,-40,85,0.1,0.402,2000,624,1200,URS1J331MHD,Uni-Polar,Radial Lead,Lo-Profile,1065,710,951.4,873.3,568,MP,20790,Normal,2.96
63,470,0.125,,16,15,-40,85,0.1,0.282,2000,888,700,URS1J471MHD,Uni-Polar,Radial Lead,Lo-Profile,1350,900,1206,1107,720,MP,29610,Normal,4.74
100,47,0.564,,10,12.5,-40,85,0.08,2.258,2000,141,2000,URS2A470MPD,Uni-Polar,Radial Lead,Lo-Profile,460,230,361.1,310.5,172.5,MP,4700,Normal,1.49
100,100,0.472,,12.5,15,-40,85,0.08,1.061,2000,300,1200,URS2A101MHD,Uni-Polar,Radial Lead,Lo-Profile,555,370,495.8,455.1,296,MP,10000,Normal,2.96
100,220,0.214,,16,15,-40,85,0.08,0.482,2000,660,700,URS2A221MHD,Uni-Polar,Radial Lead,Lo-Profile,930,620,830.8,762.6,496,MP,22000,Normal,4.74
100,330,0.143,,18,15,-40,85,0.08,0.322,2000,990,400,URS2A331MHD,Uni-Polar,Radial Lead,Lo-Profile,1140,760,1018.4,934.8,608,MP,33000,Normal,6.31
160,47,1.411,,16,15,-40,85,0.2,5.644,2000,401,700,URS2C470MHD,Uni-Polar,Radial Lead,Lo-Profile,840,420,659.4,567,315,LTB,7520,Normal,4.74
160,68,,,16,20,-40,85,0.2,3.901,2000,535,600,URS2C680MHD6,Uni-Polar,Radial Lead,Lo-Profile,,490,,,,LTB,10880,Normal,6.6
160,68,,,18,15,-40,85,0.2,3.901,2000,535,400,URS2C680MHD,Uni-Polar,Radial Lead,Lo-Profile,,490,,,,LTB,10880,Normal,6.31
160,100,1.179,,18,20,-40,85,0.2,2.653,2000,740,400,URS2C101MHD,Uni-Polar,Radial Lead,Lo-Profile,885,590,790.6,725.7,472,LTB,16000,Normal,9
160,100,1.179,,20,15,-40,85,0.2,2.653,2000,740,300,URS2C101MRD6,Uni-Polar,Radial Lead,Lo-Profile,885,590,790.6,725.7,472,EOL,16000,Normal,7.32
160,150,0.786,,18,25,-40,85,0.2,1.768,2000,1060,300,URS2C151MHD,Uni-Polar,Radial Lead,Lo-Profile,1065,710,951.4,873.3,568,LTB,24000,Normal,10.6
160,150,0.786,,20,20,-40,85,0.2,1.768,2000,1060,250,URS2C151MRD6,Uni-Polar,Radial Lead,Lo-Profile,1065,710,951.4,873.3,568,EOL,24000,Normal,9.81
160,220,0.536,,20,25,-40,85,0.2,1.206,2000,1508,250,URS2C221MRD,Uni-Polar,Radial Lead,Lo-Profile,1155,770,1031.8,947.1,616,EOL,35200,Normal,11.5
200,33,,,16,15,-40,85,0.2,8.038,2000,364,700,URS2D330MHD,Uni-Polar,Radial Lead,Lo-Profile,,350,,,,LTB,6600,Normal,4.74
200,47,1.411,,16,20,-40,85,0.2,5.644,2000,476,600,URS2D470MHD6,Uni-Polar,Radial Lead,Lo-Profile,840,420,659.4,567,315,LTB,9400,Normal,6.6
200,47,1.411,,18,15,-40,85,0.2,5.644,2000,476,400,URS2D470MHD,Uni-Polar,Radial Lead,Lo-Profile,840,420,659.4,567,315,LTB,9400,Normal,6.31
200,68,,,18,20,-40,85,0.2,3.901,2000,644,400,URS2D680MHD,Uni-Polar,Radial Lead,Lo-Profile,,490,,,,LTB,13600,Normal,9
200,68,,,20,15,-40,85,0.2,3.901,2000,644,300,URS2D680MRD6,Uni-Polar,Radial Lead,Lo-Profile,,490,,,,EOL,13600,Normal,7.32
200,100,1.179,,18,25,-40,85,0.2,2.653,2000,900,300,URS2D101MHD,Uni-Polar,Radial Lead,Lo-Profile,885,590,790.6,725.7,472,LTB,20000,Normal,10.6
200,100,1.179,,20,20,-40,85,0.2,2.653,2000,900,250,URS2D101MRD6,Uni-Polar,Radial Lead,Lo-Profile,885,590,790.6,725.7,472,EOL,20000,Normal,9.81
200,150,0.786,,18,25,-40,85,0.2,1.768,2000,1300,300,URS2D151MHD,Uni-Polar,Radial Lead,Lo-Profile,1065,710,951.4,873.3,568,LTB,30000,Normal,10.6
250,22,,,16,15,-40,85,0.2,12.057,2000,320,700,URS2E220MHD,Uni-Polar,Radial Lead,Lo-Profile,,280,,,,LTB,5500,Normal,4.74
250,33,,,16,20,-40,85,0.2,8.038,2000,430,600,URS2E330MHD6,Uni-Polar,Radial Lead,Lo-Profile,,350,,,,LTB,8250,Normal,6.6
250,33,,,18,15,-40,85,0.2,8.038,2000,430,400,URS2E330MHD,Uni-Polar,Radial Lead,Lo-Profile,,350,,,,LTB,8250,Normal,6.31
250,47,1.411,,18,20,-40,85,0.2,5.644,2000,570,400,URS2E470MHD,Uni-Polar,Radial Lead,Lo-Profile,840,420,659.4,567,315,LTB,11750,Normal,9
250,47,1.411,,20,15,-40,85,0.2,5.644,2000,570,300,URS2E470MRD6,Uni-Polar,Radial Lead,Lo-Profile,840,420,659.4,567,315,EOL,11750,Normal,7.32
250,68,,,18,20,-40,85,0.2,3.901,2000,780,400,URS2E680MHD,Uni-Polar,Radial Lead,Lo-Profile,,490,,,,LTB,17000,Normal,9
250,100,1.179,,18,25,-40,85,0.2,2.653,2000,1100,300,URS2E101MHD,Uni-Polar,Radial Lead,Lo-Profile,885,590,790.6,725.7,472,LTB,25000,Normal,10.6
400,10,,,16,15,-40,85,0.25,33.157,2000,260,700,URS2G100MHD,Uni-Polar,Radial Lead,Lo-Profile,,140,,,,LTB,4000,Normal,4.74
400,22,,,16,20,-40,85,0.25,15.072,2000,452,600,URS2G220MHD6,Uni-Polar,Radial Lead,Lo-Profile,,280,,,,LTB,8800,Normal,6.6
400,22,,,18,15,-40,85,0.25,15.072,2000,452,400,URS2G220MHD,Uni-Polar,Radial Lead,Lo-Profile,,280,,,,LTB,8800,Normal,6.31
400,33,,,18,20,-40,85,0.25,10.048,2000,628,400,URS2G330MHD,Uni-Polar,Radial Lead,Lo-Profile,,350,,,,LTB,13200,Normal,9
400,47,1.764,,18,25,-40,85,0.25,7.055,2000,852,300,URS2G470MHD,Uni-Polar,Radial Lead,Lo-Profile,840,420,659.4,567,315,LTB,18800,Normal,10.6
400,47,1.764,,20,20,-40,85,0.25,7.055,2000,852,250,URS2G470MRD6,Uni-Polar,Radial Lead,Lo-Profile,840,420,659.4,567,315,EOL,18800,Normal,9.81
400,68,,,20,25,-40,85,0.25,4.876,2000,1188,250,URS2G680MRD,Uni-Polar,Radial Lead,Lo-Profile,,490,,,,EOL,27200,Normal,11.5
