Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
6.3,33,10.45,5,11,-40,85,0.26,2000,6,6000,UVP0J330MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,64,EOL,Normal,0.44
6.3,47,7.337,5,11,-40,85,0.26,2000,9,6000,UVP0J470MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,76,EOL,Normal,0.44
6.3,100,3.448,6.3,11,-40,85,0.26,2000,19,4000,UVP0J101MED,Bi-Polar,Radial Lead,Bi-Polar Standard,125,EOL,Normal,0.59
6.3,220,1.567,8,11.5,-40,85,0.26,2000,42,3000,UVP0J221MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,215,MP,Normal,1.19
6.3,330,1.045,8,11.5,-40,85,0.26,2000,62,3000,UVP0J331MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,265,MP,Normal,1.19
6.3,470,0.734,10,12.5,-40,85,0.26,2000,89,2000,UVP0J471MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,370,MP,Normal,1.49
6.3,1000,0.345,10,20,-40,85,0.26,2000,189,1400,UVP0J102MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,650,MP,Normal,2.34
6.3,2200,0.169,12.5,25,-40,85,0.28,2000,416,800,UVP0J222MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1160,MP,Normal,4.56
6.3,3300,0.121,16,25,-40,85,0.3,2000,624,400,UVP0J332MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1570,MP,Normal,8.2
6.3,4700,0.09,16,30.5,-40,85,0.32,2000,888,300,UVP0J472MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,2020,MP,Normal,9.6
6.3,6800,0.07,18,35.5,-40,85,0.36,2000,1285,250,UVP0J682MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,2600,MP,Normal,14.2
10,22,14.469,5,11,-40,85,0.24,2000,7,6000,UVP1A220MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,57,EOL,Normal,0.44
10,33,9.646,5,11,-40,85,0.24,2000,10,6000,UVP1A330MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,64,EOL,Normal,0.44
10,47,6.773,5,11,-40,85,0.24,2000,14,6000,UVP1A470MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,76,EOL,Normal,0.44
10,100,3.183,6.3,11,-40,85,0.24,2000,30,4000,UVP1A101MED,Bi-Polar,Radial Lead,Bi-Polar Standard,125,EOL,Normal,0.59
10,220,1.447,8,11.5,-40,85,0.24,2000,66,3000,UVP1A221MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,215,MP,Normal,1.19
10,330,0.965,10,16,-40,85,0.24,2000,99,1800,UVP1A331MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,345,MP,Normal,1.77
10,470,0.677,10,16,-40,85,0.24,2000,141,1800,UVP1A471MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,410,MP,Normal,1.77
10,1000,0.318,12.5,20,-40,85,0.24,2000,300,1000,UVP1A102MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,720,MP,Normal,3.43
10,2200,0.157,16,25,-40,85,0.26,2000,660,400,UVP1A222MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1280,MP,Normal,8.2
10,3300,0.113,16,30.5,-40,85,0.28,2000,990,300,UVP1A332MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1690,MP,Normal,9.6
10,4700,0.085,18,35.5,-40,85,0.3,2000,1410,250,UVP1A472MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,2160,MP,Normal,14.2
16,10,29.178,5,11,-40,85,0.22,2000,5,6000,UVP1C100MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,42,EOL,Normal,0.44
16,22,13.263,5,11,-40,85,0.22,2000,11,6000,UVP1C220MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,57,EOL,Normal,0.44
16,33,8.842,5,11,-40,85,0.22,2000,16,6000,UVP1C330MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,70,EOL,Normal,0.44
16,47,6.208,6.3,11,-40,85,0.22,2000,23,4000,UVP1C470MED,Bi-Polar,Radial Lead,Bi-Polar Standard,95,EOL,Normal,0.59
16,100,2.918,8,11.5,-40,85,0.22,2000,48,3000,UVP1C101MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,160,MP,Normal,1.19
16,220,1.326,10,12.5,-40,85,0.22,2000,106,2000,UVP1C221MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,275,MP,Normal,1.49
16,330,0.884,10,16,-40,85,0.22,2000,158,1800,UVP1C331MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,375,MP,Normal,1.77
16,470,0.621,10,20,-40,85,0.22,2000,226,1400,UVP1C471MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,485,MP,Normal,2.34
16,1000,0.292,12.5,25,-40,85,0.22,2000,480,800,UVP1C102MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,855,MP,Normal,4.56
16,2200,0.145,16,30.5,-40,85,0.24,2000,1056,300,UVP1C222MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1510,MP,Normal,9.6
16,3300,0.104,18,35.5,-40,85,0.26,2000,1584,250,UVP1C332MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1980,MP,Normal,14.2
25,10,26.526,5,11,-40,85,0.2,2000,8,6000,UVP1E100MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,42,EOL,Normal,0.44
25,22,12.057,6.3,11,-40,85,0.2,2000,17,4000,UVP1E220MED,Bi-Polar,Radial Lead,Bi-Polar Standard,65,EOL,Normal,0.59
25,33,8.038,6.3,11,-40,85,0.2,2000,25,4000,UVP1E330MED,Bi-Polar,Radial Lead,Bi-Polar Standard,80,EOL,Normal,0.59
25,47,5.644,6.3,11,-40,85,0.2,2000,35,4000,UVP1E470MED,Bi-Polar,Radial Lead,Bi-Polar Standard,95,EOL,Normal,0.59
25,100,2.653,8,11.5,-40,85,0.2,2000,75,3000,UVP1E101MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,160,MP,Normal,1.19
25,220,1.206,10,16,-40,85,0.2,2000,165,1800,UVP1E221MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,305,MP,Normal,1.77
25,330,0.804,12.5,20,-40,85,0.2,2000,248,1000,UVP1E331MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,450,MP,Normal,3.43
25,470,0.564,12.5,20,-40,85,0.2,2000,353,1000,UVP1E471MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,540,MP,Normal,3.43
25,1000,0.265,16,25,-40,85,0.2,2000,750,400,UVP1E102MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,950,MP,Normal,8.2
25,2200,0.133,18,35.5,-40,85,0.22,2000,1650,250,UVP1E222MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1620,MP,Normal,14.2
35,4.7,45.15,5,11,-40,85,0.16,2000,5,6000,UVP1V4R7MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,34,EOL,Normal,0.44
35,10,21.221,5,11,-40,85,0.16,2000,11,6000,UVP1V100MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,43,EOL,Normal,0.44
35,22,9.646,6.3,11,-40,85,0.16,2000,23,4000,UVP1V220MED,Bi-Polar,Radial Lead,Bi-Polar Standard,73,EOL,Normal,0.59
35,33,6.431,8,11.5,-40,85,0.16,2000,35,3000,UVP1V330MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,100,MP,Normal,1.19
35,47,4.515,8,11.5,-40,85,0.16,2000,49,3000,UVP1V470MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,120,MP,Normal,1.19
35,100,2.122,10,16,-40,85,0.16,2000,105,1800,UVP1V101MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,230,MP,Normal,1.77
35,220,0.965,12.5,20,-40,85,0.16,2000,231,1000,UVP1V221MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,410,MP,Normal,3.43
35,330,0.643,12.5,20,-40,85,0.16,2000,347,1000,UVP1V331MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,505,MP,Normal,3.43
35,470,0.452,12.5,25,-40,85,0.16,2000,494,800,UVP1V471MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,655,MP,Normal,4.56
35,1000,0.212,16,30.5,-40,85,0.16,2000,1050,300,UVP1V102MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1140,MP,Normal,9.6
50,1,185.681,5,11,-40,85,0.14,2000,3,6000,UVP1H010MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,17,EOL,Normal,0.44
50,2.2,84.4,5,11,-40,85,0.14,2000,3,6000,UVP1H2R2MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,25,EOL,Normal,0.44
50,3.3,56.267,5,11,-40,85,0.14,2000,5,6000,UVP1H3R3MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,27,EOL,Normal,0.44
50,4.7,39.507,5,11,-40,85,0.14,2000,7,6000,UVP1H4R7MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,34,EOL,Normal,0.44
50,10,18.568,6.3,11,-40,85,0.14,2000,15,4000,UVP1H100MED,Bi-Polar,Radial Lead,Bi-Polar Standard,52,EOL,Normal,0.59
50,22,8.44,8,11.5,-40,85,0.14,2000,33,3000,UVP1H220MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,89,MP,Normal,1.19
50,33,5.627,8,11.5,-40,85,0.14,2000,50,3000,UVP1H330MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,105,MP,Normal,1.19
50,47,3.951,10,12.5,-40,85,0.14,2000,71,2000,UVP1H470MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,150,MP,Normal,1.49
50,100,1.857,10,20,-40,85,0.14,2000,150,1400,UVP1H101MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,265,MP,Normal,2.34
50,220,0.844,12.5,25,-40,85,0.14,2000,330,800,UVP1H221MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,480,MP,Normal,4.56
50,330,0.563,16,25,-40,85,0.14,2000,495,400,UVP1H331MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,650,MP,Normal,8.2
50,470,0.395,16,30.5,-40,85,0.14,2000,705,300,UVP1H471MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,835,MP,Normal,9.6
63,3.3,48.229,5,11,-40,85,0.12,2000,6,6000,UVP1J3R3MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,28,EOL,Normal,0.44
63,4.7,33.863,6.3,11,-40,85,0.12,2000,9,4000,UVP1J4R7MED,Bi-Polar,Radial Lead,Bi-Polar Standard,34,EOL,Normal,0.59
63,10,15.916,6.3,11,-40,85,0.12,2000,19,4000,UVP1J100MED,Bi-Polar,Radial Lead,Bi-Polar Standard,57,EOL,Normal,0.59
63,22,7.234,8,11.5,-40,85,0.12,2000,42,3000,UVP1J220MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,95,MP,Normal,1.19
63,33,4.823,10,12.5,-40,85,0.12,2000,62,2000,UVP1J330MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,135,MP,Normal,1.49
63,47,3.386,10,16,-40,85,0.12,2000,89,1800,UVP1J470MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,180,MP,Normal,1.77
63,100,1.592,12.5,20,-40,85,0.12,2000,189,1000,UVP1J101MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,320,MP,Normal,3.43
63,220,0.723,16,25,-40,85,0.12,2000,416,400,UVP1J221MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,575,MP,Normal,8.2
63,330,0.482,16,30.5,-40,85,0.12,2000,624,300,UVP1J331MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,655,MP,Normal,9.6
63,470,0.339,18,35.5,-40,85,0.12,2000,888,250,UVP1J471MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,965,MP,Normal,14.2
100,1,132.629,5,11,-40,85,0.1,2000,3,6000,UVP2A010MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,21,EOL,Normal,0.44
100,2.2,60.286,6.3,11,-40,85,0.1,2000,7,4000,UVP2A2R2MED,Bi-Polar,Radial Lead,Bi-Polar Standard,34,EOL,Normal,0.59
100,3.3,40.191,6.3,11,-40,85,0.1,2000,10,4000,UVP2A3R3MED,Bi-Polar,Radial Lead,Bi-Polar Standard,39,EOL,Normal,0.59
100,4.7,28.219,6.3,11,-40,85,0.1,2000,14,4000,UVP2A4R7MED,Bi-Polar,Radial Lead,Bi-Polar Standard,47,EOL,Normal,0.59
100,10,13.263,8,11.5,-40,85,0.1,2000,30,3000,UVP2A100MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,71,MP,Normal,1.19
100,22,6.029,10,16,-40,85,0.1,2000,66,1800,UVP2A220MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,135,MP,Normal,1.77
100,33,4.019,12.5,20,-40,85,0.1,2000,99,1000,UVP2A330MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,220,MP,Normal,3.43
100,47,2.822,12.5,20,-40,85,0.1,2000,141,1000,UVP2A470MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,240,MP,Normal,3.43
100,100,1.326,16,25,-40,85,0.1,2000,300,400,UVP2A101MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,425,MP,Normal,8.2
100,220,0.603,18,35.5,-40,85,0.1,2000,660,250,UVP2A221MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,720,MP,Normal,14.2
